Category Name,``$CAT-LIVESTOCK$``,Definition,Data Source,Hyperlink,Notes
Buffalo,``buffalo``,Buffalo livestock,,,
Cattle - Dairy,``cattle_dairy``,Cattle livestock raised for dairy only,,,
Cattle - Dual Purpose,``cattle_dual_purpose``,"Cattle livestock raised for dairy, then meat",,,
Cattle - Meat,``cattle_meat``,Cattle livestock raised exclusively for meat,,,
Chickens,``chickens``,Chicken livestock,,,
Goats,``goats``,Goats livestock,,,
Horses,``horses``,Horses livestock,,,
Mules,``mules``,Mules livestock,,,
Pigs,``pigs``,Pigs livestock,,,
Sheep,``sheep``,Sheep livestock,,,